dataset,feature_index,feature_column
fused,1,baseline_end_s_ecg
fused,2,baseline_end_s_eeg
fused,3,baseline_end_s_pupil
fused,4,baseline_start_s_ecg
fused,5,baseline_start_s_eeg
fused,6,baseline_start_s_pupil
fused,7,ecg_detected_peak_count
fused,8,ecg_hr_max_bpm
fused,9,ecg_hr_mean_bpm
fused,10,ecg_hr_mean_bpm_delta_base
fused,11,ecg_hr_median_bpm
fused,12,ecg_hr_min_bpm
fused,13,ecg_hr_std_bpm
fused,14,ecg_pnn50_pct
fused,15,ecg_quality_flag
fused,16,ecg_rmssd_ms
fused,17,ecg_rmssd_ms_delta_base
fused,18,ecg_rr_coverage_ratio
fused,19,ecg_rr_cv
fused,20,ecg_rr_iqr_ms
fused,21,ecg_rr_mean_ms
fused,22,ecg_sdnn_ms
fused,23,ecg_valid_rr_count
fused,24,eeg_abs_alpha_central
fused,25,eeg_abs_alpha_central_delta_base
fused,26,eeg_abs_alpha_frontal
fused,27,eeg_abs_alpha_frontal_delta_base
fused,28,eeg_abs_alpha_global
fused,29,eeg_abs_alpha_global_delta_base
fused,30,eeg_abs_alpha_occipital
fused,31,eeg_abs_alpha_occipital_delta_base
fused,32,eeg_abs_alpha_parietal
fused,33,eeg_abs_alpha_parietal_delta_base
fused,34,eeg_abs_alpha_temporal
fused,35,eeg_abs_alpha_temporal_delta_base
fused,36,eeg_abs_beta_central
fused,37,eeg_abs_beta_central_delta_base
fused,38,eeg_abs_beta_frontal
fused,39,eeg_abs_beta_frontal_delta_base
fused,40,eeg_abs_beta_global
fused,41,eeg_abs_beta_global_delta_base
fused,42,eeg_abs_beta_occipital
fused,43,eeg_abs_beta_occipital_delta_base
fused,44,eeg_abs_beta_parietal
fused,45,eeg_abs_beta_parietal_delta_base
fused,46,eeg_abs_beta_temporal
fused,47,eeg_abs_beta_temporal_delta_base
fused,48,eeg_abs_delta_central
fused,49,eeg_abs_delta_frontal
fused,50,eeg_abs_delta_global
fused,51,eeg_abs_delta_occipital
fused,52,eeg_abs_delta_parietal
fused,53,eeg_abs_delta_temporal
fused,54,eeg_abs_highbeta_central
fused,55,eeg_abs_highbeta_frontal
fused,56,eeg_abs_highbeta_global
fused,57,eeg_abs_highbeta_occipital
fused,58,eeg_abs_highbeta_parietal
fused,59,eeg_abs_highbeta_temporal
fused,60,eeg_abs_theta_central
fused,61,eeg_abs_theta_central_delta_base
