scenario,classes,weighted_balanced_accuracy,weighted_macro_f1,chance_adjusted_balanced_accuracy,resolution_bits,best_setup,best_ba,best_macro_f1,worst_setup,worst_ba,worst_macro_f1
all_bins,7,0.21924053635059465,0.1741645359491257,0.08911395907569376,0.2501745116351888,pupil | within_participant | rf,0.35714285714285715,0.3001360544217687,fused | loso | logreg,0.10317460317460317,0.028133714568110417
omit_easiest,6,0.2328264093335747,0.1905816174406056,0.07939169120028966,0.20522454462158257,pupil | within_participant | knn,0.39166666666666666,0.355,ecg | loso | decision_tree,0.1195436507936508,0.10695067101800847
three_level_merged,3,0.44884910974972003,0.41207689986619234,0.17327366462458005,0.2746322607924933,pupil | within_participant | rf,0.6527777777777778,0.6334019684019684,ecg | within_participant | mlp,0.28833333333333333,0.27667499167499165
