scenario,model,weighted_ba,weighted_macro_f1
all_bins,decision_tree,0.2162406331580251,0.1924987260531452
all_bins,gaussian_nb,0.18847628337049108,0.1197871606559849
all_bins,knn,0.215611333819242,0.18149386024844597
all_bins,logreg,0.21135853150784123,0.16393909184838873
all_bins,mlp,0.2292176096629128,0.1881175285038199
all_bins,rf,0.2440767676118066,0.20317741118791166
all_bins,svm,0.22970259532384382,0.17013797314618367
omit_easiest,decision_tree,0.22717805872348937,0.2001211433538343
omit_easiest,gaussian_nb,0.19659033752389843,0.1287541254203127
omit_easiest,knn,0.2487273381574852,0.21313912172414798
omit_easiest,logreg,0.2093766673336001,0.16811307466501066
omit_easiest,mlp,0.23647927921168468,0.20537430747993918
omit_easiest,rf,0.2512691882308479,0.21405848743563544
omit_easiest,svm,0.26016399615401714,0.20451106200535896
three_level_merged,decision_tree,0.4361969533183644,0.42403537178470824
three_level_merged,gaussian_nb,0.3769673563869992,0.28990467980268403
three_level_merged,knn,0.4455186472737243,0.41661531269525703
three_level_merged,logreg,0.4734674587427564,0.43825760953543696
three_level_merged,mlp,0.45797428462125594,0.4351489630528085
three_level_merged,rf,0.5111143438857024,0.4823119405603406
three_level_merged,svm,0.4407047240192373,0.3982644216321109
